"filename", "language", "Markdown", "XML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "JavaScript JSX", "PostCSS", "TypeScript JSX", "Dotenv", "HTML", "comment", "blank", "total"
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\app.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 58
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\config\env.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\controlers\asset.controller.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 73
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\controlers\auth.controller.js", "JavaScript", 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38, 204
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\controlers\lecture.controller.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 147
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\controlers\questions.controller.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 87
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\controlers\support.controller.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 80
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\controlers\user.controller.js", "JavaScript", 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 254
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\database\mongodb.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\eslint.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\middleware\admin.middleware.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\middleware\auth.middleware.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 36
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\middleware\error.middleware.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 41
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\middleware\limiter.middleware.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\models\asset.model.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\models\lecture.model.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\models\question.model.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\models\support.model.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\models\user.model.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\package-lock.json", "JSON", 0, 0, 0, 2262, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2263
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\routes\asset.route.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\routes\auth.routes.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\routes\lectures.routes.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\routes\questions.routes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\routes\subcription.routes.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\routes\support.route.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\routes\user.routes.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\utils\codegenerator.util.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo-backend\utils\sendEmail.util.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\.claude\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\AGENTS.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\CLAUDE.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\README.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 51
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app.json", "JSON with Comments", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(auth)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(auth)\signin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 1, 10, 108
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(auth)\signup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 1, 12, 137
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(auth)\verify.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 1, 15, 108
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(flow)\[id]\[time].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 2, 16, 107
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(flow)\init\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 11, 85
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(sites)\AllowNewsletter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(sites)\ChangeEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 9, 97
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(sites)\ChangeName.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 8, 91
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(sites)\ChangePassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(sites)\DeleteAccount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(sites)\Help.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(sites)\createLecture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 1, 11, 132
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(sites)\recommended.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 1, 8, 100
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 6, 63
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(tabs)\activity.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 1, 11, 122
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 18, 185
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(tabs)\lectures.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 1, 6, 76
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\(tabs)\settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 1, 7, 104
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 7, 37
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\lectures\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 1, 24, 261
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\app\questions\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 9, 7, 51
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\assets\animations\confetti.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\assets\animations\jump.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\assets\animations\loading.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\assets\animations\sleep.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
